,mean,std,count
That,-0.27916764256615756,0.23616266469254532,2.0
SH,-0.2783446023894202,0.0,1.0
probable,-0.27792680213040427,0.24370602380155332,2.0
generated,-0.27727711203362454,0.0,1.0
##rial,-0.2762300086727725,0.10509194806857167,4.0
strategy,-0.2752587640610076,0.21504824599929676,3.0
##sted,-0.27522378009050424,0.11836078424493661,2.0
heel,-0.2751665345488645,0.0,1.0
##uted,-0.2747953206057534,0.0,1.0
##ition,-0.27395838431129876,0.1588137852854095,3.0
##quire,-0.27393000724467215,0.15168001895992125,10.0
Quite,-0.27372470251304026,0.008184746752556066,2.0
##ced,-0.2730241452067149,0.1529126426171968,5.0
Management,-0.27249648851128044,0.20773811295567896,6.0
##stance,-0.27244118759234,0.08148760142629624,2.0
half,-0.27188284864838824,0.0,1.0
edges,-0.27095872934392023,0.0,1.0
interim,-0.2697410168457478,0.0,1.0
families,-0.26936900899878713,0.14719588957521632,6.0
services,-0.2693149057718485,0.14685406414149194,14.0
anxious,-0.2693099728035341,0.19829408981342983,8.0
ambulance,-0.26672494180434375,0.0,1.0
grip,-0.26655053350735314,0.16266187414889452,2.0
social,-0.2657396821103078,0.15436582781430178,24.0
##junct,-0.26549397278361503,0.12190468612612017,2.0
stem,-0.2654792747524679,0.0,1.0
##xia,-0.2653832339110178,0.0,1.0
hall,-0.2652826277545637,0.14371095893349883,3.0
memory,-0.26469871589575106,0.0,1.0
violence,-0.264375013363037,0.0314754460592374,2.0
chances,-0.2639330454854815,0.0,1.0
plans,-0.26341275008429066,0.20209295724904291,52.0
supervisor,-0.2633546139709058,0.0,1.0
outcome,-0.26306074977135474,0.16247629658793306,5.0
covered,-0.26240483894965766,0.11100308951268972,3.0
flip,-0.26237734312211214,0.0,1.0
discharge,-0.26173004982692116,0.2058329769552476,50.0
Could,-0.2610519608933887,0.45584450219660483,3.0
confused,-0.26092966927861566,0.06018003009678786,3.0
##ryn,-0.26069474426626915,0.1739956428268223,19.0
deliver,-0.25947523267719014,0.19291120229568035,3.0
##gable,-0.25853562374209826,0.0,1.0
diagnosed,-0.25702060296149937,0.1789961095167992,9.0
##flow,-0.256825480754193,0.1029501378051633,2.0
Hard,-0.25644930271195926,0.0,1.0
##manship,-0.25637448250513,0.0,1.0
capable,-0.25591307217352827,0.29749442563034517,2.0
##gie,-0.2554378188820963,0.0,1.0
##VA,-0.2553945241354426,0.0,1.0
MI,-0.2552616352874122,0.0,1.0
photo,-0.2549912846501671,0.0,1.0
supported,-0.2545029814522407,0.12387941183065908,2.0
##PL,-0.25447432708464607,0.0,1.0
ROM,-0.2544011911430212,0.0,1.0
matter,-0.2542788704988163,0.0,1.0
Teaching,-0.2536786527872689,0.5046142971376855,2.0
##phone,-0.2535414609661784,0.0,1.0
##ued,-0.2533764337300655,0.0,1.0
##location,-0.25317821152470515,0.21630986646312386,12.0
Focus,-0.25312996151720857,0.0,1.0
##psy,-0.2529920084309206,0.12645145796216553,2.0
Assessment,-0.25214417555540775,0.2210773842957865,6.0
assistance,-0.25199973583652746,0.17160901913908516,30.0
##kle,-0.2518871378562834,0.0,1.0
##cus,-0.25155288615849203,0.0,1.0
animal,-0.2508282700711565,0.0,1.0
herself,-0.24860173224420984,0.0,1.0
manages,-0.2485177476074448,0.13629427549668,3.0
ring,-0.24758635264751858,0.02942535482074003,3.0
planning,-0.24741094512321904,0.1497435105848592,16.0
flap,-0.24726363155999156,0.0,1.0
skills,-0.24683949883159373,0.1938348965663914,62.0
development,-0.2464640240064342,0.07595558426564657,2.0
Still,-0.24633745113745065,0.27343143038816803,3.0
learned,-0.24607989089637586,0.14574220327634693,4.0
Miss,-0.2449436630955966,0.0,1.0
rays,-0.2446149211560045,0.05396526584143077,2.0
intact,-0.24456307888486004,0.0,1.0
##icidal,-0.24447974606992365,0.15001074187228455,12.0
technical,-0.2444183216988959,0.12840541943562847,3.0
housing,-0.24417111880429848,0.0,1.0
hot,-0.24349132536419665,0.0,1.0
##obia,-0.2433579807963217,0.0,1.0
##ilized,-0.24280777164508366,0.0,1.0
##AM,-0.2427477245989578,0.0,1.0
living,-0.24267118127882253,0.08813754647036935,4.0
##smo,-0.24263637579529293,0.0,1.0
starts,-0.24207962499616759,0.0,1.0
plan,-0.2420711886003727,0.199909194430811,231.0
makes,-0.24192638430693955,0.00468894228513821,3.0
##vu,-0.24102601435829923,0.16210263177155693,4.0
report,-0.2408846273915642,0.18288284125763202,5.0
violent,-0.24077314039689604,0.0,1.0
recognition,-0.2403363258262863,0.20153738294715262,17.0
##etus,-0.23954260187370185,0.0,1.0
flag,-0.23934463484513915,0.1852272153439499,2.0
##truction,-0.2388729445712424,0.1746357886833861,4.0
opportunities,-0.23874458795970926,0.0,1.0
##BO,-0.2385171813432967,0.0,1.0
##ych,-0.23818720006974992,0.21153486002588695,26.0
##phy,-0.23781150390004469,0.08591091386572017,3.0
suffering,-0.2375050925076085,0.0,1.0
rescue,-0.23694777586055552,0.10975934793726343,3.0
##ological,-0.23676992000185335,0.0,1.0
Success,-0.23607691319621701,0.1898755000992004,13.0
##llis,-0.23592559117396814,0.0,1.0
hearing,-0.23578587051982447,0.17971726241771346,2.0
pulmonary,-0.23531990109199283,0.2582031888529949,6.0
language,-0.23502561211174383,0.13924997733352149,10.0
##gression,-0.23501164838519273,0.0,1.0
Center,-0.2349154668121288,0.0,1.0
NO,-0.23455253568425558,0.2322684567333274,2.0
##ments,-0.2344019010817367,0.08979044279981982,13.0
##cate,-0.2339964481754383,0.12210516224002664,4.0
##ress,-0.2338831294688148,0.0,1.0
