,mean,std,count
*,-1.0,0.0,1.0
blank,-1.0,0.0,69.0
##kle,-0.8009453551262181,0.0,1.0
applying,-0.7942363103124671,0.0,1.0
Getting,-0.7669031547350939,0.0,1.0
Just,-0.7491590996913347,0.0,1.0
instrumentation,-0.7142113552012692,0.0,1.0
slight,-0.7136067538530382,0.07892243505404545,2.0
secured,-0.695212935777964,0.0,1.0
burns,-0.6869250481352718,0.010871186918067266,2.0
implemented,-0.6812983420397452,0.0,1.0
##gan,-0.6522818877791828,0.0,1.0
ensures,-0.6313306896972194,0.11122254866597958,2.0
translate,-0.623653361533941,0.0,1.0
shorter,-0.6135650474079684,0.0,1.0
See,-0.609032359171522,0.3884092410546267,19.0
enhance,-0.5897275465592673,0.0,1.0
protocols,-0.5816612025792305,0.15622601254412785,2.0
relocation,-0.5802462857528112,0.0,1.0
poison,-0.5781539580123278,0.0,1.0
allied,-0.5735211796923033,0.11818772388338701,3.0
Teaching,-0.5711818669181427,0.18830848715639736,2.0
inflicted,-0.5621255097909461,0.0,1.0
##took,-0.5370017615016295,0.0,1.0
handle,-0.532908354917706,0.0,1.0
ankles,-0.5126169038843963,0.0,1.0
suggesting,-0.5001226157175402,0.0,1.0
pulses,-0.4961076955482411,0.0,1.0
recommendation,-0.4914704428707267,0.0,1.0
investigating,-0.489526104989059,0.12068272534937075,2.0
##rn,-0.48428079385039585,0.10993132435313852,2.0
recommend,-0.47946066961477635,0.0,1.0
Does,-0.47782452951174365,0.0,1.0
examine,-0.4697394700410654,0.2370484270140066,2.0
methods,-0.46948557069001456,0.2643690623379146,3.0
reconciliation,-0.4667209499163486,0.0,1.0
avoiding,-0.4584379458487978,0.0,1.0
below,-0.45838227701485584,0.30791831423848887,11.0
King,-0.4578991976488735,0.0,1.0
checking,-0.4555753114775878,0.0,1.0
tails,-0.44024870083610773,0.0,1.0
Junior,-0.43474105623786286,0.23442107830654335,2.0
##rne,-0.43245823791101884,0.0,1.0
encourage,-0.4303895557305454,0.2460638613182478,5.0
bring,-0.42692261077761035,0.0,1.0
variations,-0.42614076142127827,0.0,1.0
carefully,-0.4106206707246627,0.0,1.0
##des,-0.4071476563930881,0.0,1.0
describing,-0.4038108687628819,0.11276161501779886,2.0
pause,-0.40366694778165924,0.14096243348099238,2.0
monitors,-0.40329507592665675,0.0,1.0
Investigation,-0.3987546014185109,0.0,1.0
utilize,-0.39735405021476267,0.0,1.0
brush,-0.3948740690325906,0.0,1.0
advise,-0.39460403071418026,0.17722300731635166,3.0
View,-0.38964655887730865,0.0,1.0
serving,-0.3889327895260815,0.0,1.0
standard,-0.3880756401638738,0.314091626638341,3.0
texts,-0.38647005149029373,0.0,1.0
starts,-0.3861786554979317,0.0,1.0
AN,-0.38385642221218647,0.0,1.0
bizarre,-0.3798161038645398,0.0,1.0
##gg,-0.3751488427385409,0.04474012438415226,4.0
##gable,-0.3749925297500583,0.0,1.0
conducted,-0.3720002234561038,0.0,1.0
hardware,-0.37173392079477374,0.0,1.0
exploring,-0.37125814582902406,0.0,1.0
reproduce,-0.367610452516119,0.0,1.0
##RI,-0.3642167912743759,0.1752567942019322,2.0
watching,-0.3630605586260804,0.0,1.0
Adult,-0.3628972648416299,0.0,1.0
wary,-0.36288586775441345,0.0,1.0
examples,-0.36192042330758467,0.0,1.0
principles,-0.3605127015793511,0.14903898445735234,5.0
psychiatrist,-0.35317499780780187,0.25775590822816025,2.0
securing,-0.3508665782254009,0.0,1.0
hanging,-0.34855802679720127,0.0,1.0
sources,-0.34662026303806687,0.3712800003685938,4.0
alongside,-0.3465029695797808,0.0,1.0
roughly,-0.3444976273857268,0.0,1.0
undertook,-0.3438637597527914,0.02207794350246023,2.0
systematic,-0.34160375440946866,0.20039312155204567,8.0
disagree,-0.33559548257412375,0.0,1.0
comfortably,-0.3353267461800533,0.0,1.0
packing,-0.3337523145712027,0.0,1.0
##ras,-0.33324982672231396,0.0,1.0
supervision,-0.33273934002665007,0.20908814516558946,19.0
interpretations,-0.33236983676021103,0.19558257844994995,2.0
encouraged,-0.3317585548704162,0.0,1.0
housing,-0.331505316662557,0.0,1.0
##coming,-0.3313830465510284,0.0,1.0
thumb,-0.330773680762989,0.0,1.0
difficulties,-0.32862231764477806,0.0,1.0
reference,-0.3286177938749613,0.0,1.0
personality,-0.3274888792524708,0.0,1.0
application,-0.3228869379164349,0.2734108213414395,7.0
adding,-0.32234712591639625,0.0,1.0
inputs,-0.3220042979813549,0.0,1.0
mean,-0.321089772472159,0.0,1.0
cannabis,-0.3210820256328665,0.0,1.0
focusing,-0.320334194246648,0.23961973907084574,2.0
implement,-0.31994058919183194,0.25359562659149376,2.0
solve,-0.3168929176361612,0.0,1.0
weird,-0.3134463362419362,0.0,1.0
organizing,-0.31116257263448033,0.12497065954226301,2.0
facts,-0.3105383152964089,0.0,1.0
tape,-0.3071573799398792,0.0,1.0
landmarks,-0.306971098728127,0.2132097555201242,8.0
voiced,-0.30587937810129595,0.11615171354240476,2.0
larger,-0.3058483237718565,0.0,1.0
confirming,-0.3049790666276838,0.18592222632940347,2.0
paralyzed,-0.3045132740674073,0.0,1.0
observing,-0.3022843661764488,0.00855687679336195,2.0
surrounding,-0.30204486516568246,0.0,1.0
wider,-0.3003535973231251,0.0,1.0
Remember,-0.2989957652035184,0.21434140230844212,21.0
eyes,-0.2967301261366704,0.0,1.0
simply,-0.2921685920845851,0.0,1.0
bodies,-0.2910426671627163,0.0,1.0
drew,-0.2908075758570394,0.0,1.0
Cut,-0.2890342514827605,0.0,1.0
##uss,-0.28838574620457147,0.23308797556660452,37.0
collected,-0.288291526124801,0.0,1.0
materials,-0.28644220114184826,0.26590346866423986,8.0
Could,-0.28473805220120946,0.28559353353991196,3.0
insisting,-0.28276544119324204,0.10656715850868305,2.0
contamination,-0.279502537612788,0.0,1.0
stand,-0.2775284959799589,0.0,1.0
casts,-0.2761953131600567,0.4455894521805747,2.0
Them,-0.27520338332008465,0.16534927975783575,5.0
scene,-0.27431330671234544,0.0,1.0
generally,-0.27292791519707327,0.0,1.0
dynamics,-0.272729400928067,0.2901788167638014,3.0
insisted,-0.2724619515586213,0.0,1.0
Try,-0.2711361492431704,0.10233630258395231,5.0
efforts,-0.27075976194580276,0.0,1.0
Use,-0.2703010050627071,0.0,1.0
ordering,-0.26991443906421625,0.17004945247617767,13.0
##mma,-0.2693547516651323,0.0,1.0
Crystal,-0.26847636386154894,0.05156591925654476,2.0
tough,-0.26830097070666886,0.0,1.0
suspect,-0.266017284229814,0.0,1.0
indeed,-0.2659649193312763,0.26959753428876887,2.0
functions,-0.2658747715186465,0.37215449325106736,3.0
confusing,-0.26532488499044216,0.10695492742282488,3.0
Master,-0.26460787800261937,0.0,1.0
Il,-0.26456561183403104,0.0,1.0
Golden,-0.26444830337075537,0.0,1.0
adapt,-0.26442508378971225,0.0,1.0
facilitated,-0.26352136007045457,0.22814977612432763,2.0
videos,-0.2627699523465273,0.0,1.0
mentioned,-0.26204978070413176,0.0,1.0
##rns,-0.26162235883714774,0.0,1.0
frequently,-0.2614257242393619,0.0,1.0
theirs,-0.2611707240860709,0.0,1.0
avoid,-0.2559458926647236,0.11272111652753504,2.0
simulation,-0.2548349731037969,0.13697320854241998,2.0
Otherwise,-0.2547068431144467,0.25337074718268227,8.0
##fle,-0.2542390266778927,0.0,1.0
##oked,-0.25395273657342105,0.0,1.0
##ision,-0.2525220086203762,0.0,1.0
potassium,-0.2510107057156923,0.0,1.0
solving,-0.2509322551765377,0.3177922118951271,2.0
poisoned,-0.2498245201560461,0.0,1.0
injured,-0.2496117804359773,0.16826374887897275,3.0
elements,-0.2493267793928545,0.07974427916894677,3.0
disciplinary,-0.24859071166616678,0.0,1.0
school,-0.24854266432718075,0.0,1.0
forget,-0.24769161504403725,0.23112025173237957,3.0
keep,-0.2473192589788947,0.30747172376526183,15.0
freezing,-0.2471108128495333,0.1132032069558932,2.0
displaying,-0.24677974025648186,0.0,1.0
En,-0.24640536159397233,0.1881568700979225,14.0
MW,-0.24574126785521913,0.0,1.0
maneuvers,-0.24570626371260806,0.06356414264381711,2.0
<,-0.24495542117421523,0.040387634501481334,2.0
translation,-0.2447326087008662,0.049557735511810946,2.0
pencil,-0.24435943731185536,0.0,1.0
traction,-0.24389735658372066,0.2791393954285938,3.0
survey,-0.24301060348084985,0.16508380061360528,11.0
##CE,-0.2429429860488089,0.11024069569585566,12.0
above,-0.24290771387104457,0.3788244568142865,51.0
fragile,-0.24262902809101183,0.0,1.0
must,-0.23884076025516005,0.003070039559749646,2.0
conclusions,-0.23867239418937639,0.0,1.0
types,-0.2379975337612696,0.09553567174433532,2.0
bias,-0.2378265497362973,0.1468036310561346,2.0
examining,-0.23772461373438558,0.025879250269409293,2.0
##xes,-0.23765274882069093,0.0,1.0
freeze,-0.23761709169876613,0.0,1.0
unsure,-0.23755210666767992,0.007081659528469869,2.0
administer,-0.23578112285023903,0.3400253407071371,3.0
articulated,-0.23236852351102052,0.0,1.0
lacked,-0.23181537810711386,0.0,1.0
reflection,-0.23141936809800875,0.0,1.0
9,-0.23118241015016328,0.3020134886121715,2.0
calculations,-0.23114455922318616,0.0,1.0
unnecessary,-0.23067094580199063,0.0,1.0
remember,-0.2305540669305392,0.25481261061194554,7.0
notes,-0.23054278719971646,0.28397491030304534,3.0
provisional,-0.23004916412295204,0.0,1.0
arrange,-0.22968304355482902,0.12966695704819448,4.0
EPA,-0.22946466854910158,0.30373720878514676,4.0
explicitly,-0.22914585823014652,0.0,1.0
uses,-0.22910688246267885,0.06170485990668382,3.0
##iovascular,-0.22869156581479716,0.0,1.0
classification,-0.22795755137420481,0.1012914697591888,2.0
##essed,-0.2277035839033159,0.0,1.0
##ION,-0.22727066671796178,0.0,1.0
hot,-0.22720923735839865,0.0,1.0
suggestion,-0.22716702119790166,0.0,1.0
proportion,-0.22671625027918366,0.0,1.0
##lves,-0.22642219420531715,0.0,1.0
practices,-0.22612390129687243,0.09337503752895178,2.0
##isi,-0.22596603221379552,0.052026858465601136,2.0
conduct,-0.22447141594973757,0.0,1.0
communities,-0.22399867341874605,0.0,1.0
fields,-0.2239075353951316,0.0,1.0
scoring,-0.22369487379753006,0.2314566348627322,2.0
crash,-0.2233456117611277,0.0,1.0
surveys,-0.22284077551073792,0.06644388157983074,5.0
script,-0.22225581350927068,0.0,1.0
approximate,-0.22160893018061462,0.007710588197361132,2.0
ensuring,-0.22155141113762913,0.2731057989996911,4.0
utilizing,-0.22121834178637836,0.2651351173952039,4.0
reminded,-0.22016297917723515,0.21337433548256665,4.0
shortly,-0.21953739918472903,0.0,1.0
##rations,-0.21948365592292227,0.1759244206890602,6.0
transmit,-0.2183298835095667,0.0,1.0
addressing,-0.21793544891823544,0.0,1.0
loading,-0.21777010175852568,0.0,1.0
explanations,-0.21698667785534814,0.1432510119412139,2.0
acted,-0.21664693612454186,0.16524152071013637,3.0
whatsoever,-0.21659190538390413,0.0,1.0
incorporates,-0.21570476477176126,0.0,1.0
##nica,-0.2143286532694256,0.12511914730727675,4.0
connection,-0.21425355052629144,0.0,1.0
interpreted,-0.2138986993377702,0.26294617991215274,5.0
figuring,-0.21339683788909755,0.0,1.0
alternatives,-0.212419551050517,0.269901123047963,2.0
analyze,-0.21146824601830502,0.0,1.0
##rrel,-0.21125271486967204,0.0,1.0
differentiate,-0.21065337521983238,0.0,1.0
subsequently,-0.210323275732002,0.16219886985291404,2.0
##riz,-0.21012506276891574,0.25135422695964915,2.0
##sure,-0.20989581845626112,0.2562575532249221,11.0
##putation,-0.20963915224090943,0.0,1.0
Now,-0.2087441088708403,0.20179482433599247,3.0
Its,-0.20841426086682846,0.04947297506678701,2.0
reading,-0.2078033044446221,0.0,1.0
directions,-0.20742364677574252,0.0,1.0
rocket,-0.20704828285567412,0.0,1.0
Sometimes,-0.2062593168217238,0.0,1.0
tactics,-0.20610232249313284,0.0,1.0
use,-0.20547251308285566,0.2054920741796758,72.0
neat,-0.20526911362995903,0.0,1.0
Works,-0.20511586915650457,0.19190629032678855,4.0
Using,-0.20440699469152396,0.0,1.0
##plating,-0.2043153750367036,0.0,1.0
distinguished,-0.20376489735358438,0.0,1.0
literally,-0.2027239622351325,0.12527275661776208,2.0
##IB,-0.20263083320925,0.3609173622564129,2.0
passive,-0.2023722098510199,0.0,1.0
practiced,-0.20206788957987115,0.13041452574414814,2.0
verse,-0.20157527064294736,0.0,1.0
reminding,-0.20132155261863638,0.0,1.0
logistics,-0.20120940603101753,0.13587109726306412,2.0
provision,-0.20092023375627122,0.0,1.0
##rner,-0.20038739809911435,0.1424292352359698,3.0
Arabic,-0.2002124597191541,0.13584851087861805,2.0
reassure,-0.20005770288723998,0.05986529079384249,3.0
##bal,-0.20004554819451317,0.20602862166372882,14.0
suggested,-0.19752608661111523,0.17581673212200538,9.0
omitted,-0.19743401924334228,0.0,1.0
adults,-0.19702426820057956,0.0,1.0
removal,-0.1964869414290333,0.2300810743710778,5.0
Practice,-0.19624864561981145,0.0,1.0
accordingly,-0.1958113555598059,0.15739976681530515,8.0
bounce,-0.19575630159577506,0.0,1.0
aren,-0.19561509003106814,0.0,1.0
crowded,-0.1954562635561253,0.0,1.0
##lude,-0.1945153674666654,0.2716193054331397,2.0
used,-0.1942230357679565,0.2503065608791675,26.0
settling,-0.19421811768148517,0.0,1.0
gown,-0.1937644757037321,0.10481888805079,2.0
techniques,-0.19338122332053065,0.2360046238246961,8.0
Always,-0.19214423786917945,0.3059862190630974,3.0
enclosed,-0.1917454767110088,0.0,1.0
recommendations,-0.19149987163922477,0.0,1.0
falsely,-0.1912386493227442,0.07717720136492234,2.0
forwards,-0.19070183895605813,0.0,1.0
material,-0.19005891705309108,0.0,1.0
behaviour,-0.18928925593345325,0.17531117215477543,6.0
presents,-0.1890872223748913,0.20453789859344298,6.0
Generally,-0.18856211128715247,0.22975470258845035,3.0
Main,-0.1879307657870877,0.1812507020980889,3.0
disclosure,-0.1878136645491382,0.0,1.0
slab,-0.18740836795303867,0.1659165823627703,4.0
contacts,-0.18661259380743828,0.0,1.0
descriptions,-0.1863658758936752,0.22578157908506508,2.0
look,-0.1862274186306368,0.2158923717669084,17.0
reduce,-0.1861266748354036,0.12628715972842233,5.0
break,-0.18605153641614247,0.0,1.0
revision,-0.18562951094979416,0.0,1.0
definitely,-0.1852419553919025,0.0,1.0
##so,-0.18512403780963682,0.0,1.0
##SU,-0.18485653285665163,0.0,1.0
teenager,-0.18454455697709785,0.10279122967272022,2.0
parental,-0.18412123163986135,0.254483637409419,2.0
Background,-0.1840735852573506,0.0,1.0
arch,-0.1840711039784014,0.0,1.0
usually,-0.18373120813797755,0.0,1.0
separating,-0.18316512859504464,0.0,1.0
Knowledge,-0.18309839655083626,0.01141604539579126,2.0
scored,-0.18280390256732013,0.0,1.0
supported,-0.18268210256262235,0.3841984573186478,2.0
57,-0.18237829239877335,0.1835415002188327,2.0
continuity,-0.182270140927719,0.0,1.0
formulation,-0.18224762113981885,0.011259012298557622,2.0
