,mean,std,count
blank,-1.0,0.0,69.0
##kle,-0.7945356925075422,0.0,1.0
reference,-0.7725313108777818,0.0,1.0
shorter,-0.7663572212495764,0.0,1.0
below,-0.7526483509378123,0.33066198060719637,11.0
28,-0.7253546654008405,0.0,1.0
Pick,-0.618645745554251,0.0,1.0
slight,-0.6125507040720868,0.3687908446873147,2.0
Teaching,-0.5866515561023876,0.18093881155716,2.0
##gnant,-0.562187921177559,0.0,1.0
##ey,-0.5456501804490341,0.0,1.0
stability,-0.5375096007017452,0.3594259521113433,2.0
proposed,-0.5209537330210473,0.0,1.0
Try,-0.5045737262042833,0.13913511605472295,5.0
insisted,-0.5034985743439472,0.0,1.0
13,-0.49757415741517647,0.0,1.0
recommend,-0.4759394062522694,0.0,1.0
Same,-0.4519151476041083,0.10000977209291233,3.0
thunder,-0.44784805257930504,0.0,1.0
##ifies,-0.43856076616710926,0.0,1.0
Il,-0.4279865321555225,0.0,1.0
Beginning,-0.4215575269864804,0.0,1.0
unwilling,-0.4211985706654879,0.0,1.0
player,-0.4183978866761444,0.0,1.0
Think,-0.4126405639333222,0.0815528632836051,3.0
Sometimes,-0.41044496013778653,0.0,1.0
##lude,-0.4088711408461905,0.38627339162892815,2.0
pencil,-0.40687877171382525,0.0,1.0
wants,-0.40202966705269466,0.0,1.0
twins,-0.39493441267150253,0.0,1.0
tolerant,-0.3940888971535959,0.0,1.0
handle,-0.3935164831688813,0.0,1.0
sympathetic,-0.3919248244922044,0.0,1.0
option,-0.388927001009069,0.0,1.0
reconciliation,-0.38713634031506755,0.0,1.0
##ks,-0.38663033126588076,0.0,1.0
Questions,-0.38292696783203023,0.0,1.0
violent,-0.3814781483876886,0.0,1.0
restraint,-0.37888869564501787,0.0,1.0
seeking,-0.3776795016092992,0.13932798667413884,4.0
forgot,-0.3769248705890994,0.18532207842012327,2.0
##obia,-0.37610856555959365,0.0,1.0
trusted,-0.37299952568634,0.0,1.0
Focus,-0.37204703334943184,0.0,1.0
##dging,-0.37167564593354946,0.0,1.0
suspect,-0.3700774565557455,0.0,1.0
wanting,-0.36874797936879605,0.0,1.0
almost,-0.3681951953669544,0.0,1.0
##stance,-0.36347375289422246,0.10159631358562385,2.0
##am,-0.358570805720829,0.0,1.0
floating,-0.35813637315238145,0.0,1.0
