,mean,std,count
*,-1.0,0.0,1.0
blank,-0.9710144927536232,0.23902061597783533,69.0
violent,-0.8981845400816098,0.0,1.0
separating,-0.8732723159636953,0.0,1.0
puts,-0.8226426055370911,0.0,1.0
drain,-0.8218845866043181,0.0,1.0
Ang,-0.7757399898155798,0.0,1.0
utilize,-0.7751903771766597,0.0,1.0
measurement,-0.7718617162800838,0.0,1.0
Bone,-0.7602614144275427,0.0,1.0
protecting,-0.7029971417818047,0.0,1.0
instrumentation,-0.7008394642112739,0.0,1.0
##eral,-0.6996781777859472,0.0,1.0
specialists,-0.6990090009773593,0.0,1.0
See,-0.6978505209500067,0.35782657443978955,19.0
justify,-0.6908211883514537,0.0,1.0
##putation,-0.6722098782434431,0.0,1.0
Better,-0.6628023726031436,0.0,1.0
pursued,-0.662744832659975,0.0,1.0
measurements,-0.6550327910310848,0.0,1.0
Manual,-0.651190347497953,0.0,1.0
poisoned,-0.6481236791564144,0.0,1.0
fixing,-0.6270359161299303,0.0,1.0
Crystal,-0.6268511531731449,0.1722729225856391,2.0
Goal,-0.6213097364493371,0.0,1.0
cannabis,-0.6205783490235883,0.0,1.0
pulses,-0.6156032969572697,0.0,1.0
documenting,-0.607401975430617,0.0,1.0
charting,-0.6061549085451745,0.0,1.0
thumb,-0.6046462741381461,0.0,1.0
weird,-0.6006616005231449,0.0,1.0
sob,-0.5975533579913922,0.17651526655486896,3.0
distinguished,-0.5922458523424062,0.0,1.0
##dging,-0.5918561727460779,0.0,1.0
translate,-0.5915754789309989,0.0,1.0
manners,-0.5901769023672231,0.0,1.0
personality,-0.5881659818579578,0.0,1.0
designed,-0.5817693792900428,0.0,1.0
AN,-0.5799205385442803,0.0,1.0
interpretations,-0.5783349145619022,0.17153000139785868,2.0
facilitated,-0.570897281053566,0.11079837470498016,2.0
suggestion,-0.5663095172092354,0.0,1.0
floating,-0.5656974034717325,0.0,1.0
ray,-0.5654029301165233,0.0,1.0
hanging,-0.5646687113167145,0.0,1.0
organizing,-0.5621868954940729,0.03180950103302782,2.0
Sep,-0.5534218167767078,0.0,1.0
ankles,-0.5472520768277436,0.0,1.0
Lead,-0.5434099425451282,0.0,1.0
hardware,-0.5375289846035863,0.0,1.0
below,-0.5374698189467104,0.35496927480481016,11.0
##section,-0.532828758120959,0.0,1.0
teasing,-0.5309933314729989,0.0,1.0
sorted,-0.5300486474165647,0.0,1.0
Incorporated,-0.527544062185423,0.0,1.0
<,-0.525008609669218,0.026818878973576488,2.0
stem,-0.5215892754967598,0.0,1.0
Dec,-0.5179022287667016,0.0,1.0
pocket,-0.5175678105203888,0.0,1.0
##fected,-0.5123015308293997,0.0,1.0
Try,-0.509714821611739,0.19348912265603968,5.0
Immediately,-0.5052944961082334,0.0,1.0
establishes,-0.5007497954481221,0.0,1.0
Run,-0.4965758584437181,0.0,1.0
thoroughly,-0.49379153847723595,0.18648617237924453,7.0
recommendation,-0.48697763230137237,0.0,1.0
carefully,-0.4855520257633122,0.0,1.0
refugee,-0.4841005336259979,0.0,1.0
##uch,-0.48307107483692224,0.0,1.0
MG,-0.48198531126058747,0.0,1.0
heading,-0.48128190358160844,0.0,1.0
Images,-0.47576771271820123,0.0,1.0
properly,-0.473304362739268,0.016728524430485753,2.0
mandatory,-0.4730048757411727,0.0,1.0
Different,-0.47290602291844847,0.0,1.0
omitted,-0.4728845455512971,0.0,1.0
bring,-0.47178497299422456,0.0,1.0
Remember,-0.47136732941916104,0.2196254498575895,21.0
incorporates,-0.470124173957019,0.0,1.0
texts,-0.4698816575882146,0.0,1.0
notions,-0.46711484560971256,0.0,1.0
##ologies,-0.46680758233250325,0.0,1.0
investigating,-0.46674521195137353,0.07552428683356163,2.0
protocols,-0.46440320687630704,0.028280540675644006,2.0
serving,-0.4634088751876675,0.0,1.0
sees,-0.4622480730082496,0.0,1.0
coordinating,-0.46210217332715553,0.08747062414403899,3.0
histories,-0.46131089010995696,0.30813601579481026,4.0
lever,-0.4601572339947001,0.0,1.0
formula,-0.4555839780301466,0.20406805002765496,2.0
replacement,-0.4554121246460555,0.3653827398083539,2.0
##amed,-0.4553228803227733,0.0,1.0
comfortably,-0.44998214159200006,0.0,1.0
transmit,-0.44529560275286684,0.0,1.0
mature,-0.44512482214205895,0.0,1.0
reading,-0.4446184519290194,0.0,1.0
material,-0.43619730777224014,0.0,1.0
setup,-0.43544892760791964,0.07811906268888677,2.0
##ser,-0.43509450675321215,0.0,1.0
Clearly,-0.4263566134584942,0.11113959200774035,2.0
##biology,-0.4260188948865154,0.0,1.0
##pic,-0.42546088976744634,0.07570465278210536,2.0
concurrently,-0.4206792324608798,0.0,1.0
whatsoever,-0.4175426713867943,0.0,1.0
ensures,-0.41674255580318964,0.05167185283656425,2.0
supplies,-0.4155251347969218,0.24008545540946277,2.0
##nged,-0.4134445121218014,0.18866716867087535,2.0
thereby,-0.4126867981028371,0.0,1.0
conduct,-0.4125709493896067,0.0,1.0
picking,-0.4123242183639531,0.0,1.0
##zure,-0.4112435098827726,0.0,1.0
site,-0.4103398777153189,0.0,1.0
bilateral,-0.4091489925230851,0.0,1.0
Landmark,-0.40872793556189835,0.0592610505537374,2.0
inflicted,-0.40856777983028564,0.0,1.0
interface,-0.408392993630957,0.0,1.0
Visual,-0.408326016645875,0.0,1.0
Three,-0.4049613380820742,0.0,1.0
literally,-0.40430071298840803,0.28215153871192566,2.0
standard,-0.403708154193333,0.09322244620743272,3.0
precise,-0.397991409018534,0.0,1.0
eyes,-0.396697614596514,0.0,1.0
lines,-0.39490296563407434,0.31545859051153124,4.0
Quick,-0.3941783682246212,0.18698815604914537,5.0
Right,-0.39389845904934545,0.3451720909403036,2.0
dorsal,-0.39358334580993454,0.0,1.0
efficiently,-0.3930799776922933,0.216084648029715,12.0
extraction,-0.39151715932795866,0.0,1.0
descriptions,-0.3906152181107121,0.24286608106849392,2.0
bodies,-0.3902608989891098,0.0,1.0
convincing,-0.3886910580411591,0.0,1.0
fit,-0.38815653635653696,0.0,1.0
film,-0.3880040165690428,0.10596545892580231,2.0
traction,-0.38797905715462516,0.30622075644527785,3.0
enable,-0.3876062972604538,0.0,1.0
research,-0.3869412215332466,0.13529393279366045,2.0
Works,-0.38631047318481215,0.3514850581517876,4.0
##ficient,-0.38614960569585177,0.1599577522551216,4.0
incorporate,-0.3837776910982417,0.2838606724056522,2.0
thorough,-0.38363464895574756,0.2477302707414471,72.0
glass,-0.3830470411428478,0.0,1.0
applying,-0.3825927631741695,0.0,1.0
DL,-0.3821415403816507,0.3538942912273569,4.0
burns,-0.3819970746297603,0.39091703940043987,2.0
Created,-0.37938979015852026,0.0,1.0
Form,-0.37769636799405126,0.0,1.0
means,-0.3770826511486429,0.0,1.0
penetrating,-0.37566338128929,0.11193695523697568,3.0
examine,-0.3750725780824747,0.25338617306285743,2.0
Perfect,-0.37447518122248735,0.06289212175250714,2.0
optimal,-0.374065306705605,0.0,1.0
urgency,-0.3720526910906628,0.0,1.0
verse,-0.3696299232612447,0.0,1.0
King,-0.3681098450272198,0.0,1.0
avoiding,-0.3677395188607253,0.0,1.0
##ras,-0.3651022171312381,0.0,1.0
solve,-0.36491940827683983,0.0,1.0
Questions,-0.36457648141443383,0.0,1.0
##TL,-0.36443811733802894,0.1479457693944039,7.0
uses,-0.363176878096186,0.13019595394444017,3.0
Always,-0.36210592429950744,0.01389762446048011,3.0
##rito,-0.3611549420318877,0.0,1.0
##vice,-0.35800739918869007,0.0,1.0
interpreted,-0.3574919759869662,0.29373330017576943,5.0
AL,-0.3569041193599878,0.03826969017500476,3.0
Nearly,-0.35542310292201135,0.0,1.0
casts,-0.3539053296435258,0.25085813854034017,2.0
forearm,-0.352161002911309,0.4520960776196999,2.0
keep,-0.3513481775538363,0.27401422753746524,15.0
Change,-0.351096017431675,0.0,1.0
categorized,-0.34979828840912536,0.0,1.0
crowded,-0.3484898421812913,0.0,1.0
approximation,-0.34847290714984447,0.0,1.0
##around,-0.3461798812693089,0.0,1.0
pig,-0.3459504658507582,0.29521445926138956,3.0
thicker,-0.34543424930174305,0.0,1.0
Cast,-0.3453949724986379,0.0,1.0
tease,-0.344741995846386,0.0,1.0
##SA,-0.3393407984504318,0.023048482171727842,3.0
##ough,-0.3382778563264091,0.20317112920799682,45.0
concept,-0.3377417641574043,0.0,1.0
Higher,-0.3374187827206268,0.0,1.0
limp,-0.3347897069752245,0.23448111542309555,2.0
controlled,-0.33302132272428653,0.0,1.0
remind,-0.33262186250846165,0.13625331181014103,2.0
insert,-0.3311984844604542,0.16203870003399692,2.0
crushing,-0.33116216881261196,0.0,1.0
##inating,-0.33068335949641603,0.03161566386003334,2.0
compression,-0.3304210752199916,0.0,1.0
Effect,-0.3301834875551804,0.11011199750302318,6.0
confirming,-0.3299091724273509,0.3373793518920049,2.0
advocated,-0.328120683593946,0.12874387818616903,5.0
recommendations,-0.3270272020159277,0.0,1.0
films,-0.3269788379529471,0.15784564481988386,3.0
Teaching,-0.3267706516653245,0.13492182279084322,2.0
considerations,-0.3263460903086387,0.09421773503411321,5.0
efficient,-0.3259058494990779,0.20783519680484694,24.0
anchored,-0.32568518688215303,0.0,1.0
describing,-0.3255937442261804,0.346116115224781,2.0
contingent,-0.3247817845762956,0.0,1.0
prepare,-0.32472521513777935,0.1825114564242712,2.0
types,-0.3234504704173029,0.07925915970060925,2.0
newborn,-0.3230664452912267,0.23303932943450797,2.0
delicate,-0.3218908475390372,0.14587610951684873,2.0
station,-0.321811965902701,0.04204197517888786,2.0
prolific,-0.3208654541243189,0.0,1.0
Used,-0.3202367319046335,0.2542222308747727,12.0
disposed,-0.32019493269434773,0.0,1.0
agent,-0.3200536717775503,0.0,1.0
comprehensive,-0.31976032442772234,0.18167093296734652,14.0
##eca,-0.3188888106771605,0.40095173958383007,3.0
##au,-0.31834684939994307,0.24743648846602684,2.0
exclude,-0.3182903527007576,0.0,1.0
##icient,-0.3177718654959102,0.2527905401384011,9.0
range,-0.3168336916089802,0.0,1.0
illustrated,-0.31552294094421257,0.0,1.0
Demons,-0.3151371789405725,0.0938805613745552,2.0
##scope,-0.31361644582616643,0.3277158668746628,13.0
demonstrates,-0.31318336816254655,0.27555697360993636,2.0
providers,-0.3125882430753861,0.3397179750926272,2.0
kiss,-0.3120046270388244,0.0,1.0
Fever,-0.3111178495719751,0.0,1.0
levels,-0.3111098487100813,0.07118764609929303,2.0
brush,-0.31081191644929135,0.0,1.0
##riz,-0.310697049142366,0.3568333240745266,2.0
reference,-0.3106860591945342,0.0,1.0
examining,-0.31017939170100045,0.09844262911039037,2.0
collected,-0.3101711074978266,0.0,1.0
##hum,-0.3100430870630461,0.0,1.0
ring,-0.30988557183870286,0.06715904804241356,3.0
mandate,-0.30838364282196457,0.0,1.0
provisional,-0.3080306477503887,0.0,1.0
Managing,-0.3073634536348194,0.13612374789869272,2.0
transmitted,-0.30726299146072833,0.0,1.0
characterization,-0.3071941681404832,0.0,1.0
cases,-0.3070259023782787,0.26616071472649716,19.0
accurate,-0.30571972746068093,0.22066776641364508,14.0
Make,-0.305658816891843,0.2698471706275279,7.0
model,-0.30488694658805787,0.29945119764836714,2.0
##uction,-0.30477755144243596,0.2037871093057586,8.0
midway,-0.30470128101835187,0.0,1.0
Though,-0.3046866829523821,0.30877205014491815,2.0
capturing,-0.30463474593020107,0.0,1.0
diverse,-0.30392426928409777,0.0,1.0
closure,-0.3031807102428853,0.3428175409857895,9.0
proposed,-0.3026989106876414,0.0,1.0
wave,-0.30119119137580214,0.0,1.0
NY,-0.30007583307215385,0.05889801209714274,3.0
guarding,-0.2993139365503272,0.0,1.0
sensitivity,-0.29927982823253374,0.0,1.0
induction,-0.2990454294848668,0.0,1.0
reproduce,-0.298063310086071,0.0,1.0
street,-0.29663458901701445,0.36173150202685966,2.0
Structure,-0.29606890872034003,0.0,1.0
Simple,-0.29586221079214176,0.08985172786727087,3.0
expanded,-0.29584502850332994,0.0,1.0
remove,-0.2953387726448938,0.05094084889146744,2.0
inform,-0.2947663485820113,0.25484615580151937,4.0
##ffing,-0.29452144668597974,0.11974264606735008,2.0
wrist,-0.29436873421457443,0.2764303875119116,6.0
##aton,-0.29337192522365535,0.0,1.0
functions,-0.29305885231559053,0.04227243666953161,3.0
landmark,-0.29269725359176807,0.2662189075540222,9.0
shortly,-0.2923610847368542,0.0,1.0
supplement,-0.29050417792531696,0.0,1.0
variations,-0.2900014381637537,0.0,1.0
##bal,-0.28924250528170736,0.23991549670170467,14.0
Aug,-0.28864990526496453,0.0,1.0
performing,-0.2881542896827025,0.25031050390755366,10.0
aided,-0.2880211417999582,0.0,1.0
mantle,-0.2878410387853727,0.03665805212874704,2.0
dedication,-0.287448309400669,0.0,1.0
facilitate,-0.2863591912025783,0.2364526958473901,4.0
characteristic,-0.2862902675857613,0.07382323996602709,3.0
characteristics,-0.2861558866741043,0.1392269663732611,5.0
ensured,-0.2857228178553928,0.1567344566904619,11.0
encourage,-0.2855117715116241,0.28765567198256425,5.0
vulnerable,-0.28543350067541545,0.0,1.0
Generally,-0.2845273528674793,0.17906075060400176,3.0
Comprehensive,-0.2840512267598971,0.05956751160133236,8.0
bang,-0.2832123248027837,0.0,1.0
Lu,-0.28300183306247106,0.0,1.0
layer,-0.28279057220364423,0.0,1.0
##lists,-0.2825092523953192,0.0,1.0
enhance,-0.2821220772598376,0.0,1.0
build,-0.28205354838592106,0.2802994676283755,2.0
lid,-0.281590089545453,0.0,1.0
shorter,-0.27974137179407227,0.0,1.0
Elder,-0.2791043164805049,0.18666018054769376,3.0
Selected,-0.27800395587900195,0.0,1.0
applied,-0.27734132266775247,0.2944805584499083,13.0
promoted,-0.27642993844127606,0.0,1.0
interactions,-0.2763594885199017,0.11824231932464391,3.0
arrange,-0.27528954110338744,0.17540907434732264,4.0
pharmacy,-0.2750000939364323,0.3095846985358991,2.0
limiting,-0.2740967733761239,0.0,1.0
##rove,-0.2731577672870737,0.0,1.0
ordering,-0.2730030484565477,0.22461859472799445,13.0
algorithm,-0.2724786525255998,0.21872315115748317,3.0
micro,-0.27242332329307994,0.16832537807945985,2.0
foot,-0.27231025610674653,0.2790675246955459,2.0
drew,-0.27112380045888246,0.0,1.0
line,-0.27055367457357177,0.2530863499544593,23.0
bar,-0.27044889041812853,0.279047936892408,3.0
tertiary,-0.27035821494548795,0.0,1.0
##ibe,-0.2702273591990766,0.0,1.0
maneuver,-0.2697573091967437,0.0,1.0
##nx,-0.2697315262347793,0.0,1.0
mom,-0.2688636839492518,0.3704292039360675,2.0
bounds,-0.2687995312781989,0.0,1.0
feeding,-0.26838483518858075,0.0,1.0
Prof,-0.26821314683275144,0.154709860386073,2.0
casting,-0.26793691291260313,0.2383437169473179,17.0
##rations,-0.26792562048318774,0.17432794724343081,6.0
Que,-0.26684680980780845,0.0,1.0
Few,-0.2666983923544236,0.0,1.0
layers,-0.2666876671469556,0.0,1.0
recruiting,-0.26651672394849624,0.0,1.0
systematic,-0.2656877717809457,0.25411152568266354,8.0
##psy,-0.2653500967707488,0.29484946667427875,2.0
Good,-0.2650291918098484,0.23301682190912945,276.0
##ures,-0.2645180898691336,0.0,1.0
practices,-0.26416122804608305,0.21528954388317695,2.0
lacked,-0.26369218202262035,0.0,1.0
Dr,-0.26347751310442447,0.0,1.0
