,mean,std,count
*,-1.0,0.0,1.0
blank,-1.0,0.0,69.0
practicing,-0.9658266110572868,0.0,1.0
counseling,-0.9484617280914923,0.0,1.0
extraction,-0.9256501106304241,0.0,1.0
Please,-0.8762247533767663,0.0,1.0
wedge,-0.8395534125550688,0.0,1.0
historian,-0.7182601787057454,0.0,1.0
Practice,-0.6955204275899174,0.0,1.0
##lled,-0.6608383681269157,0.0,1.0
milestone,-0.6586622934015907,0.0,1.0
player,-0.6386911116622312,0.0,1.0
##ues,-0.613969910732837,0.0,1.0
##eral,-0.6085864905679429,0.0,1.0
digits,-0.5863464867876143,0.0,1.0
personality,-0.581428910727102,0.0,1.0
slight,-0.5561585800917738,0.1376355631215179,2.0
drain,-0.5333064866257339,0.0,1.0
poor,-0.5289110157505,0.0,1.0
rating,-0.5187557054662364,0.0,1.0
##isted,-0.5117452525465694,0.0,1.0
motor,-0.5101492712468233,0.0,1.0
fit,-0.5060935256940142,0.0,1.0
lid,-0.4932924859661619,0.0,1.0
manifest,-0.4911492936703288,0.0,1.0
Sep,-0.4816383422283493,0.0,1.0
replacement,-0.46523564199681716,0.35192343140580734,2.0
simultaneous,-0.46440833482247396,0.0,1.0
##ln,-0.4634791769531556,0.0,1.0
tumor,-0.45511592737519996,0.0,1.0
centre,-0.4546487502519934,0.0,1.0
credit,-0.45426094262631517,0.0,1.0
bothered,-0.447323340788236,0.0,1.0
burns,-0.4354339012032768,0.1951719699317262,2.0
violent,-0.43045775922060564,0.0,1.0
##has,-0.4294549184146723,0.0,1.0
examine,-0.41762568951849754,0.27377911016088974,2.0
closely,-0.41568394182414475,0.0,1.0
responded,-0.40639049091240637,0.0,1.0
negotiated,-0.40630588927040756,0.0,1.0
tap,-0.4051718503695998,0.0,1.0
##ologies,-0.40383036014575086,0.0,1.0
convinced,-0.40198090370342715,0.28831305771553223,2.0
extensive,-0.3993940622776812,0.23826971195631877,2.0
vessel,-0.39528870979904596,0.0,1.0
understands,-0.39498060674201696,0.5022027517640384,2.0
photo,-0.3949265398988166,0.0,1.0
inflicted,-0.3922331524716423,0.0,1.0
mac,-0.390967475549199,0.0,1.0
site,-0.39060864762660874,0.0,1.0
writing,-0.38678903411848103,0.19362208641135953,2.0
Limited,-0.3817798778341751,0.0,1.0
folks,-0.377371830378982,0.0,1.0
##den,-0.37621167357579344,0.0,1.0
evaluation,-0.3738165928423758,0.23086114096112936,19.0
satisfactory,-0.3730007152190449,0.0,1.0
hooked,-0.3683218937129262,0.0,1.0
cognitive,-0.36716810143843337,0.0,1.0
requiring,-0.36659125719346514,0.12895807953668748,19.0
##eries,-0.3664266113962523,0.0,1.0
characteristic,-0.3647129963306049,0.41825493807947767,3.0
##erus,-0.36376020308229506,0.18947693638099083,2.0
##sed,-0.3630671374426772,0.0764819686280429,7.0
repaired,-0.3629468388423438,0.2297290879944419,4.0
notable,-0.361795261609687,0.0,1.0
bypass,-0.36157759498910935,0.0,1.0
plane,-0.3607977203590566,0.0,1.0
heavy,-0.3602048875528169,0.10254737206627268,2.0
arrest,-0.35872492039880893,0.21237204817596161,14.0
initiated,-0.35808642579512456,0.13669396049671795,17.0
lacked,-0.3569583600180354,0.0,1.0
hardware,-0.3538934287161125,0.0,1.0
tertiary,-0.3530082240101328,0.0,1.0
contacts,-0.3529404818368666,0.0,1.0
profound,-0.3522323557669885,0.18882293446255474,2.0
##py,-0.3515037323190002,0.0,1.0
##mount,-0.350082754531962,0.0,1.0
managed,-0.34590714416551444,0.159455051191448,115.0
died,-0.3452467868517311,0.0,1.0
##lop,-0.3447229096991785,0.0,1.0
external,-0.3436352799447624,0.10931543971960328,3.0
occasional,-0.33896155144342377,0.230272700263782,4.0
bizarre,-0.33858623858421577,0.0,1.0
induced,-0.337928923256372,0.15465937299360472,3.0
continuing,-0.33728567791484787,0.01232915081084212,3.0
##ificant,-0.336825598236628,0.0,1.0
Made,-0.3356989492725414,0.16599623347996761,5.0
enthusiasm,-0.33442569823045354,0.0,1.0
revealed,-0.3340812598701519,0.0,1.0
obvious,-0.33386383177174805,0.0,1.0
progression,-0.3336522376737892,0.06861567467474636,3.0
severe,-0.3335153299003813,0.16529114780791432,15.0
below,-0.33169720281154547,0.6361742255978887,11.0
failure,-0.33165687051797993,0.14249703256648774,7.0
lesions,-0.33144972013213925,0.21396773192859767,2.0
hum,-0.329593862266046,0.26213243911134265,3.0
devised,-0.328453495599979,0.0,1.0
##gic,-0.32392260846509474,0.07486379185343282,3.0
poisoning,-0.32368771003042207,0.0,1.0
stage,-0.3229078688017258,0.11538368969225658,5.0
Multiple,-0.32276181025477824,0.11512093428452905,7.0
complicated,-0.32244548628746345,0.192287913531441,44.0
NE,-0.3222191548114388,0.0,1.0
ul,-0.3203510061405963,0.018032190104066342,2.0
hot,-0.3190513729744636,0.0,1.0
required,-0.3189199282878944,0.166557741903309,42.0
##roi,-0.31784523402209974,0.0,1.0
well,-0.31782148580832226,0.1734747203926505,313.0
opened,-0.31770862346638384,0.0,1.0
extreme,-0.31642499845364636,0.04203025732425106,2.0
treated,-0.3152357120483067,0.09600600303503852,11.0
##ern,-0.31494228131208446,0.0,1.0
supportive,-0.3130187119340694,0.10975430994236915,2.0
optimal,-0.31251507630065933,0.0,1.0
excellent,-0.31249387531121625,0.20192107461920372,100.0
state,-0.3119285329010881,0.0,1.0
demonstrated,-0.3116984378105417,0.19755456889010423,12.0
##fected,-0.31156817603922576,0.0,1.0
placed,-0.310971540534233,0.05282985317745097,7.0
engaged,-0.30972143882827313,0.0,1.0
relief,-0.3088350950876333,0.0,1.0
Child,-0.3087844854168338,0.031727215710565415,3.0
Incorporated,-0.30828802081001216,0.0,1.0
probable,-0.307130471590821,0.14771012425616645,2.0
depended,-0.3068526860244569,0.0,1.0
##owed,-0.3068338560033823,0.0,1.0
High,-0.3059603750370403,0.029398332924936647,4.0
##ilized,-0.3052998999823596,0.0,1.0
##dder,-0.30426400345284266,0.0,1.0
secured,-0.30381621632557276,0.0,1.0
Still,-0.3037472846853478,0.11013437361860347,3.0
##encies,-0.3034393770673557,0.19174676595079546,2.0
eating,-0.30273788827422826,0.2965857238437572,2.0
##reate,-0.3015427239356104,0.0,1.0
caste,-0.30108611457336,0.04543633756039048,2.0
Complete,-0.3008007120739783,0.25759214579456563,16.0
vascular,-0.3006914944437681,0.10596845058964838,5.0
organ,-0.30059453299906713,0.09013081520692753,2.0
neat,-0.299886850329934,0.0,1.0
found,-0.2996696401094712,0.09054381335902484,11.0
poisoned,-0.29811032050897,0.0,1.0
began,-0.29761939924550557,0.0,1.0
closed,-0.29755858401533775,0.12225141153913399,8.0
rays,-0.29750978747777457,0.03119008137005566,2.0
##icient,-0.29665035801694545,0.13879030946958976,9.0
tolerant,-0.2966056818095208,0.0,1.0
approx,-0.2956570094798846,0.0,1.0
legally,-0.2951017491409676,0.0,1.0
OS,-0.29455079336680645,0.10539294174695167,10.0
establishment,-0.294370252948137,0.0,1.0
seen,-0.2941581783018418,0.1930363170554154,14.0
##esis,-0.29328408674176354,0.1533831258948282,7.0
condition,-0.2929166252089502,0.10591458706544911,6.0
MG,-0.29232892854877296,0.0,1.0
Ch,-0.29216999008006445,0.0,1.0
##copy,-0.2914946379282954,0.1493671313225149,15.0
pseudo,-0.29086254826365227,0.0,1.0
inserted,-0.29068169140556,0.13688013581512254,9.0
minimize,-0.290604077116596,0.2061132916832326,2.0
require,-0.29059688906412284,0.10591443939178442,9.0
bow,-0.28993979065293224,0.11895114710004386,2.0
##ptic,-0.2897241093714069,0.13499504002521695,26.0
exposed,-0.2881774872985962,0.0,1.0
offer,-0.2880046100765359,0.0,1.0
Form,-0.28775903639746936,0.0,1.0
consistently,-0.28734900538076324,0.0,1.0
hanging,-0.2861528351784079,0.0,1.0
##pile,-0.2852915669761768,0.1586627660790311,3.0
loading,-0.2852834650000153,0.0,1.0
OF,-0.2847990432428423,0.0,1.0
led,-0.2836367360290706,0.09862029755302647,4.0
substantial,-0.28308862916607475,0.0,1.0
##lected,-0.2816173322573465,0.0,1.0
poorly,-0.28087136320615297,0.0,1.0
##ger,-0.27949283115294565,0.0,1.0
with,-0.2794268167324914,0.1755842365776275,1073.0
##tensive,-0.2781995930294759,0.0,1.0
complex,-0.2780836736068818,0.1862901677408363,107.0
##llis,-0.27741319536733994,0.0,1.0
added,-0.2773563402328014,0.20344887559438843,4.0
delicate,-0.27697725376086735,0.008354248546327464,2.0
repair,-0.27685812912167884,0.17588490317669786,36.0
flap,-0.2766077113786444,0.0,1.0
##inal,-0.2765201286073611,0.14726649974159647,2.0
crowded,-0.2754225997290866,0.0,1.0
isolated,-0.27524422131273163,0.0,1.0
monitored,-0.27493539135723355,0.0888785311383408,5.0
poison,-0.2746813793838644,0.0,1.0
commented,-0.274007979462765,0.18298089569970485,2.0
caught,-0.2739859000480599,0.0,1.0
##ian,-0.273857809299878,0.12378411145787005,8.0
lifting,-0.2736402466859955,0.0,1.0
appreciate,-0.273601172631672,0.04959520466492273,2.0
closure,-0.2734553552593682,0.27094844154383657,9.0
minimal,-0.2728945776212435,0.15184969882499827,29.0
input,-0.27266773288974905,0.14897725818853402,7.0
##quire,-0.27223266481413677,0.0808327906955579,10.0
surgery,-0.2721976006818691,0.04134862557561315,12.0
##tly,-0.2721956304725987,0.0,1.0
bleed,-0.27219304298794056,0.11284058663443096,5.0
##cute,-0.27210992739420486,0.10182953294084952,4.0
arrived,-0.2719843272143079,0.16276757918983145,2.0
observed,-0.27197502498760256,0.10446178574493188,9.0
oxide,-0.271627214243844,0.0,1.0
confirmed,-0.27012453218735394,0.10226944735548402,11.0
##sco,-0.2700894856303734,0.0,1.0
able,-0.2700325920435486,0.12511776640808908,159.0
problem,-0.2697284733022894,0.2150446383016745,15.0
progressive,-0.26936619156528824,0.1164694049879694,3.0
maintained,-0.2692447134685201,0.0,1.0
his,-0.2688860096772588,0.10681139256077901,11.0
##mized,-0.2688587348622136,0.0,1.0
discharged,-0.2688002378299557,0.03038218767818388,3.0
il,-0.2680244239165509,0.1066218256204827,2.0
remove,-0.2679293879702153,0.023490455593281487,2.0
sided,-0.2679252453807886,0.14169144529469888,2.0
Small,-0.26748382587140085,0.0,1.0
significant,-0.2666951410619934,0.10545890110163517,14.0
El,-0.266149402443468,0.09144777753375445,5.0
struggling,-0.2655337146568392,0.0,1.0
Had,-0.26543843182836174,0.13580882322628596,18.0
##ologist,-0.26515294433023723,0.0,1.0
##aged,-0.26512529478473085,0.159936498165116,51.0
cop,-0.26502944832764797,0.17011523282497945,2.0
needing,-0.2648672055011467,0.10118856734486396,12.0
continued,-0.2647575494652273,0.10661920670694702,3.0
##ho,-0.26451781647729056,0.25499317588984555,4.0
captured,-0.2643829441650235,0.0,1.0
le,-0.2642312647186154,0.13729221137157208,2.0
Se,-0.26421712477504683,0.13286872896215823,10.0
##fully,-0.26405899322352255,0.09160557057986943,8.0
pause,-0.26358138635987616,0.025192839959942065,2.0
had,-0.26311593588833715,0.1340379306975832,155.0
##ien,-0.26306977072221577,0.0,1.0
##led,-0.2622880553567678,0.08834303091565852,7.0
and,-0.2619801711937994,0.1709286247941525,2062.0
grip,-0.261921687803971,0.005971468681525982,2.0
##ly,-0.26147793819601756,0.15381811239601545,133.0
oxygen,-0.2603367764096489,0.149795648482357,6.0
revision,-0.26006354868549725,0.0,1.0
services,-0.2600625736594599,0.10803763160238006,14.0
greatly,-0.25997955307371223,0.0,1.0
diagnosed,-0.2599184618416595,0.11888389313832567,9.0
Despite,-0.2595921074666318,0.03986438917564323,3.0
##ively,-0.2593851290640766,0.19149299672418063,2.0
Much,-0.2592351821373417,0.0,1.0
suffering,-0.25830186029808455,0.0,1.0
wires,-0.2582206208169763,0.0,1.0
##tr,-0.25815985954863885,0.036072028411220244,2.0
capable,-0.25788798793147283,0.2527876172618305,2.0
ring,-0.2577583307522045,0.08310762586010695,3.0
major,-0.25721534571537497,0.08283766360664721,6.0
feeding,-0.25703410026199613,0.0,1.0
##trate,-0.2566780382610796,0.12937290353404776,3.0
compression,-0.2566188290602447,0.0,1.0
emerged,-0.25595519307541637,0.0,1.0
advanced,-0.25568017764968437,0.1745928306550611,5.0
##ncies,-0.2550934448194155,0.09659411157399599,4.0
manages,-0.2550617801196257,0.12512153016114916,3.0
gap,-0.25494103213416747,0.0,1.0
NO,-0.2547480027553096,0.17121213312809486,2.0
technical,-0.2546545128294527,0.07101185702094095,3.0
er,-0.253719222170417,0.1233764394466904,3.0
##uma,-0.2530511698047601,0.14549023755500498,8.0
##tub,-0.25290454880343977,0.15683112926656623,91.0
He,-0.25234747418187486,0.1797652156888891,6.0
enforced,-0.2523092628779682,0.0,1.0
##otic,-0.251407261146775,0.0006647343956411882,3.0
improvements,-0.2513498357289487,0.0,1.0
##pol,-0.2512450433632916,0.0,1.0
consulted,-0.25037264303899953,0.1723312444223888,21.0
fracture,-0.250241455599283,0.20037564536856553,53.0
unstable,-0.2501392608889906,0.13894074810974968,16.0
wrist,-0.24994183291545544,0.09332482820484862,6.0
intermediate,-0.24988780436682528,0.0,1.0
unusual,-0.24912048733370218,0.11885114039322339,3.0
some,-0.24894994337916834,0.15360975814321634,76.0
ongoing,-0.24818913329125997,0.15718807172198213,11.0
wondered,-0.24816524348072508,0.0,1.0
pressure,-0.2480476439680049,0.12838427707300595,5.0
checked,-0.24754118299296146,0.08895862296634897,2.0
mandatory,-0.24713151171480524,0.0,1.0
##rated,-0.24649861754967983,0.13686587811764217,9.0
bleeding,-0.245979632123132,0.09740818872873869,12.0
Sign,-0.2452899694519785,0.0,1.0
##lint,-0.2448844211864687,0.13748317555035594,26.0
material,-0.24437684614775784,0.0,1.0
##ema,-0.24431608837851368,0.08607779011400814,6.0
##dox,-0.24399298333092662,0.0,1.0
assisted,-0.24377448177394875,0.08032875678635681,7.0
##ted,-0.2434348115383967,0.1584698960285583,14.0
large,-0.24217657653334285,0.11729768538544495,8.0
death,-0.2421747592889072,0.0,1.0
##scope,-0.24189110806532443,0.16960928150621032,13.0
performing,-0.24133812935703713,0.2508100730815424,10.0
particular,-0.24109125517538063,0.14631896584646367,3.0
lace,-0.2410212885452244,0.2654189978772093,37.0
##pas,-0.24068093331170784,0.03677007415358224,3.0
##eal,-0.24067174451003592,0.0178529597871339,2.0
page,-0.2406397185886772,0.0,1.0
sexually,-0.24058907652401518,0.0,1.0
immediate,-0.24050844689564313,0.10274070690721776,6.0
&,-0.24048725593521336,0.10790680636673271,26.0
user,-0.24048616369460257,0.0,1.0
##min,-0.2400750768401158,0.0,1.0
greater,-0.23995206792527363,0.0,1.0
##zure,-0.23973637019522614,0.0,1.0
##ulation,-0.23931569613501796,0.0818403169252489,2.0
us,-0.23879559588803234,0.14709889492969574,9.0
##ivate,-0.23875869299850522,0.0,1.0
spend,-0.2387025419904348,0.05839277584106453,2.0
shock,-0.2385608514855692,0.07505870768603681,11.0
##stal,-0.23820524521472547,0.12557930396756634,10.0
heard,-0.23801785492479074,0.1456527979069206,3.0
