,mean,std,count
user,-0.3012183300580178,0.0,1.0
exercised,-0.3008891262136312,0.0,1.0
blade,-0.3002602930635314,0.26232747602689116,4.0
injury,-0.30015426375369697,0.21057471414248627,37.0
##iving,-0.2983898354459051,0.0,1.0
lesions,-0.29810872331258587,0.12248948901473941,2.0
Emergency,-0.2980370225764177,0.0,1.0
repair,-0.29724298419656975,0.24393948174487085,36.0
pneumonia,-0.29681511910675484,0.17518056396044146,11.0
labour,-0.2967562879358899,0.08075336703224345,3.0
exposed,-0.2966746667343208,0.0,1.0
limp,-0.2965159679780729,0.041908401422163705,2.0
burn,-0.296496741177979,0.11736457214886582,4.0
lit,-0.295808534265084,0.0,1.0
levels,-0.29561615597067803,0.185949573329427,2.0
##CH,-0.2951411819638782,0.06871605679336941,2.0
assessment,-0.2950083433443897,0.23623396848041414,227.0
backs,-0.2941251716600012,0.0,1.0
advised,-0.29384785928239565,0.0,1.0
##ogies,-0.2919146657561086,0.189307946560353,5.0
conscious,-0.29153367123657,0.30606980517598714,2.0
texts,-0.2912570606800745,0.0,1.0
paper,-0.28984823886264943,0.0,1.0
abdomen,-0.28984382374693207,0.19068270638415233,5.0
brought,-0.28761413667624797,0.22232742734213054,2.0
##lay,-0.287490077963285,0.0,1.0
secured,-0.28737787162713363,0.0,1.0
AAA,-0.28712895771674746,0.28242027778027695,7.0
commented,-0.28495619022617424,0.019768230703392675,2.0
##cum,-0.2841659666928727,0.17998287838427907,3.0
Better,-0.28313926923877597,0.0,1.0
##icidal,-0.2826104564453947,0.20871634298123698,12.0
##PA,-0.28197128552086403,0.08543464898981855,5.0
film,-0.2816566539948119,0.09421715204022355,2.0
walk,-0.2812771449502628,0.03627313156202053,4.0
youth,-0.28079084818414507,0.12341011606880725,3.0
scope,-0.28040833489228867,0.27455810400180747,5.0
##uction,-0.27969307178285535,0.28216982830260623,8.0
Lt,-0.27953778318425704,0.0,1.0
applied,-0.2793490345005546,0.19693557658307176,13.0
complicated,-0.27882277451528464,0.235340104797901,44.0
opened,-0.27835281834095216,0.0,1.0
##tica,-0.27803387812170327,0.0,1.0
translate,-0.2749242828979574,0.0,1.0
descriptions,-0.2749041231359429,0.16781662234284134,2.0
ray,-0.27426037217078997,0.0,1.0
##nous,-0.27394632834967964,0.0,1.0
##stable,-0.27329705567319035,0.08904531823029667,2.0
##rre,-0.27316072271952,0.1690852664543222,3.0
##oh,-0.2729338296685514,0.07379598439590523,2.0
prescribed,-0.272140349688141,0.0,1.0
examined,-0.27182814685192686,0.13401523663454648,2.0
##cer,-0.2716191779178318,0.12747024518003763,4.0
loading,-0.2710946104480883,0.0,1.0
##ations,-0.2708062036487437,0.16281103159212051,9.0
intervention,-0.270794171489743,0.14216239123874327,13.0
##EX,-0.27018025769422155,0.0,1.0
obtained,-0.2701210517706541,0.1600952441650909,9.0
##ngo,-0.26982243624944313,0.0,1.0
adults,-0.26972717075488856,0.0,1.0
unaware,-0.26884079600610183,0.0,1.0
litigation,-0.26839883776109763,0.0,1.0
wrist,-0.26767736172268514,0.16488176546617284,6.0
intervene,-0.2676727350931645,0.3052023932628166,3.0
swelling,-0.2664929716159094,0.08254890904483524,6.0
station,-0.26569035233712957,0.06635912754698987,2.0
Sept,-0.2647021518420554,0.0,1.0
symmetric,-0.26461144723859653,0.0,1.0
##ulum,-0.2627279916540925,0.21902181693400455,6.0
flap,-0.2611833356528626,0.0,1.0
mandatory,-0.2604963641389394,0.0,1.0
components,-0.26048641756907903,0.15153600576330528,3.0
accident,-0.2603790191518586,0.0,1.0
and,-0.2596372315545885,0.15634072036578836,2062.0
drain,-0.2595941060898086,0.0,1.0
carefully,-0.2595776655238892,0.0,1.0
consulting,-0.2593960155687254,0.12743246324035828,9.0
##CP,-0.2592738024669685,0.05990905348615633,3.0
crisp,-0.2588380330245699,0.0,1.0
showed,-0.25851406611094063,0.09440689874882342,10.0
functioned,-0.2583211165906957,0.039539804228333,2.0
fears,-0.25735756841668295,0.0,1.0
relief,-0.2573525621729656,0.0,1.0
##VC,-0.2567450822694261,0.0,1.0
##ries,-0.2567124222742042,0.03653779247306639,2.0
Background,-0.2566692744375059,0.0,1.0
documentation,-0.2560157044149546,0.13293359176297784,18.0
areas,-0.25583954466696723,0.16278537624997885,4.0
assessed,-0.2554057685199712,0.21826083086660697,40.0
procedures,-0.25513004759108204,0.27397945837592796,19.0
##UI,-0.2544038723116983,0.0,1.0
placement,-0.2538032591842681,0.1940208847513147,19.0
red,-0.25319765732196553,0.1604415978539227,13.0
##VE,-0.25311688673799243,0.0,1.0
differential,-0.2528507193055606,0.22078414373402047,83.0
micro,-0.2528095328792898,0.06413293227893667,2.0
converted,-0.25273969787494155,0.1713868246498973,2.0
infection,-0.25271066168328615,0.10376344307205998,10.0
