,mean,std,count
historian,-0.8726323773655758,0.0,1.0
suffering,-0.8070475604081092,0.0,1.0
floating,-0.8021930298543987,0.0,1.0
Beautiful,-0.7705975960321214,0.0,1.0
Bone,-0.7553061893129107,0.0,1.0
centre,-0.7549503195873358,0.0,1.0
milestone,-0.7511712398757489,0.0,1.0
measurement,-0.7481376915407574,0.0,1.0
Small,-0.7335573919465217,0.0,1.0
enthusiasm,-0.7180495884350838,0.0,1.0
##dir,-0.7096630706256013,0.0,1.0
plane,-0.7030582560016743,0.0,1.0
global,-0.7004628974909152,0.0,1.0
Immaculate,-0.6628338198664834,0.0,1.0
##ues,-0.6541638660351974,0.0,1.0
execute,-0.6458936336096096,0.0,1.0
Adult,-0.6287810708022425,0.0,1.0
Excellent,-0.6143479966295942,0.18034445790048143,184.0
Cut,-0.6080862594947811,0.0,1.0
provisional,-0.5984604256215027,0.0,1.0
Managing,-0.5982325727047775,0.07689254347796409,2.0
insisted,-0.5967315040109848,0.0,1.0
supported,-0.5944918090185034,0.02541893019800784,2.0
Better,-0.5862363095895873,0.0,1.0
secured,-0.5793280411581727,0.0,1.0
13,-0.5769256199900066,0.0,1.0
##aged,-0.5763372277744981,0.18907787341339827,51.0
Comprehensive,-0.5706361323129865,0.1873081155355061,8.0
bring,-0.5700234098197655,0.0,1.0
Gene,-0.5676026703101438,0.0,1.0
Crystal,-0.5674799478962261,0.12218323772240222,2.0
comfortably,-0.553317679967677,0.0,1.0
promoted,-0.5514013747396808,0.0,1.0
manifest,-0.5502020865688456,0.0,1.0
Clinical,-0.5424132071056447,0.04949085863924557,2.0
Nearly,-0.541027662799571,0.0,1.0
offer,-0.5396479367964873,0.0,1.0
Limited,-0.538650546767519,0.0,1.0
Great,-0.5372014804833295,0.24737252996829195,87.0
##coming,-0.535552001027181,0.0,1.0
Outstanding,-0.5348093233125325,0.11594299261767628,3.0
##section,-0.5332427081815971,0.0,1.0
##eration,-0.5314746142038169,0.021252580686504985,2.0
negotiated,-0.5293980175901664,0.0,1.0
King,-0.525895622560469,0.0,1.0
Set,-0.5248703273637141,0.2529372411209111,5.0
##ln,-0.5205577461893562,0.0,1.0
Support,-0.5182721556685334,0.16073686032695678,2.0
interests,-0.5120148956719262,0.0,1.0
inflicted,-0.5114367917254277,0.0,1.0
Still,-0.5095864308571224,0.264665230896974,3.0
##eral,-0.5092803865749894,0.0,1.0
Arte,-0.5075485381828169,0.007921512623099758,2.0
##biology,-0.5073456386254908,0.0,1.0
Good,-0.5065576256860711,0.21540993828817143,276.0
##hum,-0.5039509534533714,0.0,1.0
Cause,-0.4913700746477002,0.0,1.0
Multi,-0.48893173293742914,0.0,1.0
##putation,-0.4849500904409628,0.0,1.0
anchored,-0.48163337342156665,0.0,1.0
##tted,-0.47680959079976104,0.0,1.0
##spective,-0.4756202090357129,0.0,1.0
supportive,-0.47507479504901506,0.16080503779515135,2.0
Sep,-0.47279341998998525,0.0,1.0
Organ,-0.467081769484539,0.1403602138642827,2.0
lacked,-0.46668504617570766,0.0,1.0
faces,-0.46663157445531506,0.0,1.0
carefully,-0.4648040077208909,0.0,1.0
closely,-0.4634905413474564,0.0,1.0
Well,-0.46218871775330345,0.2529224868060136,63.0
##icient,-0.4608909495228493,0.13806854020345935,9.0
excellent,-0.4584419153393344,0.21088904758902424,100.0
establishment,-0.45729045481372,0.0,1.0
aided,-0.4570638246958398,0.0,1.0
twins,-0.4567035855861984,0.0,1.0
protecting,-0.4512774813234756,0.0,1.0
Breaking,-0.4498400775077016,0.0,1.0
Active,-0.4459373772563757,0.15294186306796356,2.0
Much,-0.44571153831946403,0.0,1.0
Time,-0.4398615618143383,0.0,1.0
Mini,-0.43801616517473374,0.2281751592716863,4.0
Established,-0.43779616366720403,0.0,1.0
##ivate,-0.43722765672252883,0.0,1.0
Critical,-0.43387170458686747,0.006500180637301789,2.0
Extreme,-0.4318345291357426,0.11081289648718129,3.0
committed,-0.43094255080536736,0.0,1.0
##ailed,-0.43093157053127273,0.32554671975869903,4.0
aid,-0.43018810360877985,0.09090418262883992,3.0
staple,-0.4299799281332996,0.2637113946330099,3.0
Updated,-0.4278494255042881,0.0,1.0
##athy,-0.4276813439456527,0.0,1.0
optimal,-0.4269435751174034,0.0,1.0
protocols,-0.4266257156027365,0.2111798986783601,2.0
reconciliation,-0.42319826478440936,0.0,1.0
Management,-0.4228438481734993,0.16421352477846032,6.0
Eli,-0.4227979834799893,0.0,1.0
coverage,-0.42088421517801833,0.06340205501150002,3.0
pleasant,-0.4201720899332724,0.0,1.0
dedication,-0.4200494697926662,0.0,1.0
progression,-0.4194961290778055,0.07114481200389004,3.0
Simple,-0.4191102667582105,0.28784119631751404,3.0
Full,-0.4180481855489365,0.0,1.0
##imating,-0.4169396624829553,0.0,1.0
newborn,-0.4161042831496138,0.13333983726016208,2.0
distinguished,-0.41556060298789577,0.0,1.0
##dging,-0.41337740641212173,0.0,1.0
documented,-0.4124365119159708,0.08633421126201267,3.0
Ultimately,-0.4116356143419468,0.0,1.0
Different,-0.40989167390630227,0.0,1.0
capable,-0.40790933052315076,0.252010937218179,2.0
Perfect,-0.40658064095343327,0.22205349922194706,2.0
stellar,-0.40650587349333955,0.0,1.0
History,-0.406185232520716,0.1950232829139166,3.0
continuing,-0.4059167057659629,0.07156934325443247,3.0
satisfactory,-0.40520890294421996,0.0,1.0
adjacent,-0.4038719422399362,0.0,1.0
reducing,-0.40153602802255894,0.21693725755687068,4.0
Care,-0.39966593235251724,0.09438913527448536,5.0
documenting,-0.39955995415202594,0.0,1.0
limiting,-0.3985823711700328,0.0,1.0
Ready,-0.39849957102014827,0.0,1.0
greater,-0.3980550187763986,0.0,1.0
##unity,-0.3972338290741681,0.0,1.0
##ilized,-0.3963987097998452,0.0,1.0
Both,-0.3955165642368883,0.0,1.0
High,-0.39541851215010776,0.051674146089285264,4.0
hall,-0.39355764770060336,0.1590807211738309,3.0
reflection,-0.3922335054558853,0.0,1.0
##agu,-0.3906124114862498,0.0,1.0
decent,-0.39053093310303594,0.0,1.0
Overall,-0.3899033499215487,0.1784730790761868,28.0
Cast,-0.3878474978739415,0.0,1.0
Complete,-0.3876308834258846,0.2312877910062875,16.0
actively,-0.38704094707300407,0.0,1.0
Second,-0.3863060289333982,0.24652629831652745,2.0
meeting,-0.38547004103093047,0.0,1.0
Child,-0.3847100587179953,0.037789152703806124,3.0
ray,-0.38344453529598227,0.0,1.0
stem,-0.383149606476783,0.0,1.0
##mize,-0.38112789837084804,0.043829995266533056,5.0
great,-0.37881536022767903,0.19108671411105674,73.0
pocket,-0.37871022293514095,0.0,1.0
Fi,-0.37828415793363296,0.0,1.0
lines,-0.3774142942439521,0.15416662398888395,4.0
##gable,-0.37685307931593404,0.0,1.0
Pick,-0.3767790440974377,0.0,1.0
Three,-0.3761986793035748,0.0,1.0
winds,-0.3759134810970293,0.0,1.0
supporting,-0.3757147444157216,0.0,1.0
judging,-0.3755370850767259,0.0,1.0
##elo,-0.3742657668378361,0.13047029911087266,5.0
Very,-0.3738682602588981,0.20403153717713765,78.0
site,-0.3736411971671828,0.0,1.0
parameters,-0.3724913709532578,0.0,1.0
proportion,-0.37089692686440007,0.0,1.0
ill,-0.3704573684119545,0.1425818940130143,22.0
notable,-0.3700123134666259,0.0,1.0
fixing,-0.3695791597913945,0.0,1.0
largest,-0.3686151868977311,0.0,1.0
##essed,-0.3679437365738886,0.0,1.0
key,-0.367870791944313,0.16439339807208053,7.0
overwhelmed,-0.3664935652142878,0.0,1.0
coordinated,-0.3664850153946786,0.19463052362405392,3.0
advocacy,-0.3652296113037063,0.1556884014911198,3.0
documents,-0.36510484290992706,0.0,1.0
opened,-0.36439653348625445,0.0,1.0
Ser,-0.36335602849403525,0.0,1.0
##ough,-0.36314597364540446,0.13626331103516737,45.0
user,-0.36300438031484317,0.0,1.0
##ssion,-0.36233570200714427,0.0,1.0
Rapid,-0.36166462323500215,0.14258243301268678,2.0
##uction,-0.35942640709166707,0.16516812555366303,8.0
helping,-0.3588381318394702,0.19726778509543058,6.0
##ei,-0.3580509876657797,0.0,1.0
attained,-0.35781755218997735,0.023867992483632333,2.0
concept,-0.35764623755618397,0.0,1.0
serving,-0.3564855687684542,0.0,1.0
Physical,-0.3561335323288218,0.0,1.0
##formed,-0.3561238977938153,0.1662051895327861,30.0
balancing,-0.3557126308341137,0.0,1.0
measures,-0.35451890308509215,0.07300618395251811,3.0
documentation,-0.35445620134561706,0.08370621933999307,18.0
towards,-0.35426624413459656,0.0,1.0
wires,-0.35345659128935564,0.0,1.0
illustrated,-0.3532453109785159,0.0,1.0
##ger,-0.35245363664572044,0.0,1.0
pathway,-0.35243599925486063,0.0,1.0
regardless,-0.35163655037028346,0.0,1.0
##gan,-0.35160746126320863,0.0,1.0
fears,-0.35103974343773714,0.0,1.0
motor,-0.35071653858863294,0.0,1.0
Multiple,-0.34919272059428746,0.16527374453690216,7.0
Master,-0.34773117091437544,0.0,1.0
shortly,-0.34756709401175223,0.0,1.0
thanks,-0.34610293548054866,0.0,1.0
photo,-0.3460599105408136,0.0,1.0
grip,-0.34593495871392876,0.02171532651207639,2.0
traction,-0.345606408355372,0.1378089387689363,3.0
bio,-0.34559585212957217,0.0510555876216407,2.0
assessments,-0.3451568238343548,0.1648650614226835,21.0
Quick,-0.3450688557418584,0.1355210840958681,5.0
generation,-0.34493270645612767,0.18640515202952765,7.0
approaches,-0.3448417406377069,0.10235994740868941,3.0
caste,-0.34411335237294993,0.16912667703827836,2.0
coached,-0.34386061774519505,0.0,1.0
major,-0.34378179115826457,0.2635805659968392,6.0
Change,-0.3433211403183033,0.0,1.0
tissue,-0.3423174349956426,0.1571681476666229,3.0
built,-0.3421972443124452,0.0,1.0
size,-0.34207511809123914,0.0036216428675236167,2.0
Bed,-0.3411790773178846,0.0,1.0
struggling,-0.34092219344278923,0.0,1.0
reduction,-0.3399747695497056,0.1520961063925402,78.0
Episode,-0.33887651022011217,0.0,1.0
covered,-0.3385518926279987,0.13952009615669989,3.0
expect,-0.33812438300288405,0.12804892814252977,5.0
understands,-0.33797134766547343,0.11262796247947461,2.0
Pa,-0.3370013451664488,0.08787356566673421,2.0
excelled,-0.3367648069013807,0.0,1.0
characterization,-0.3361903201110939,0.0,1.0
achieved,-0.3361006657134114,0.12718115734968444,8.0
##ision,-0.33560512006937504,0.0,1.0
Led,-0.3355074717683775,0.14980425309389075,2.0
poor,-0.3344750109790481,0.0,1.0
almost,-0.33415300314144425,0.0,1.0
confirmed,-0.33393924688887416,0.17971963219711934,11.0
physically,-0.33384691535863237,0.0,1.0
agreed,-0.33296815158143434,0.12620648849173358,5.0
inflammation,-0.3325760110071644,0.0,1.0
Pan,-0.3320267351510625,0.0955411452012805,2.0
option,-0.3318709884778409,0.0,1.0
##mum,-0.33124264021973404,0.0,1.0
##sed,-0.331127118925179,0.13673975019612428,7.0
##sion,-0.33030769389666387,0.15530182212951632,2.0
intimate,-0.3298395370828366,0.0,1.0
##glass,-0.3297244444879593,0.0,1.0
performance,-0.3279944038685793,0.2220037429882625,7.0
Strong,-0.32739644620468056,0.1558467187669064,8.0
##BO,-0.3273423849558561,0.0,1.0
contingent,-0.3263857315466636,0.0,1.0
##ways,-0.326207754587485,0.1457560438611094,2.0
Sept,-0.3260239458572757,0.0,1.0
##mma,-0.32477696069266426,0.0,1.0
good,-0.3247582472891538,0.21409320217924488,280.0
With,-0.3247344116316533,0.1893123748189005,5.0
##iovascular,-0.32462614206486934,0.0,1.0
Try,-0.3244626516579817,0.14833953261820992,5.0
cruiser,-0.32425852398346205,0.0,1.0
##ak,-0.3241066533743859,0.0,1.0
Red,-0.3239134395066948,0.12978347829264553,14.0
coordination,-0.3237383905546394,0.06795926293857707,4.0
##ging,-0.3234105474670983,0.15447859291298033,15.0
locate,-0.32314531070713587,0.0,1.0
fully,-0.32296744908450437,0.28906789062221666,5.0
##dis,-0.3228863017189556,0.0,1.0
conducted,-0.3226019287499979,0.0,1.0
bizarre,-0.3218100761882475,0.0,1.0
condition,-0.32176531144794174,0.1388449913930435,6.0
Keep,-0.3206902550770059,0.29957137840628595,6.0
slowing,-0.3204744474398608,0.0,1.0
Working,-0.32018452411911774,0.11637916181506198,2.0
##mount,-0.3201111111792514,0.0,1.0
strong,-0.3194168325357972,0.145991780250806,11.0
possibilities,-0.31901884246630574,0.13123690382429729,2.0
poorly,-0.31706175355252925,0.0,1.0
thicker,-0.31675733250039934,0.0,1.0
Demons,-0.3167022981960745,0.03633435740237312,2.0
intervene,-0.3166745849494997,0.10375721220771018,3.0
impending,-0.3164114048942944,0.1313283576339724,2.0
rays,-0.31534837632379836,0.07460711672975244,2.0
ongoing,-0.3150567009702246,0.11288955315020828,11.0
##erve,-0.314635433742457,0.07521195749427839,6.0
Young,-0.3139298243172387,0.21180997363845178,3.0
facilitate,-0.31358737627946065,0.04639531272180566,4.0
##ship,-0.31319905879921883,0.013376825881358773,2.0
##log,-0.31248805657411693,0.06803453121472776,4.0
Advocate,-0.3124253738092418,0.0,1.0
piece,-0.3118588955953271,0.0,1.0
became,-0.311280178719862,0.167064201365037,2.0
assessment,-0.31126420619387923,0.1575144201749188,227.0
